citing,cited,Proximity ,index,title
Deep Density-Aware Count Regressor,D4,79,111,"M. Li, Z. Zhang, K. Huang and T. Tan, ""Estimating the number of people in crowded scenes by MID based foreground segmentation and head-shoulder detection,"" 2008 19th International Conference on Pattern Recognition, Tampa, FL, 2008, pp. 1-4."
Deep Density-Aware Count Regressor,D6,79,112,"Y. Zhang, D. Zhou, S. Chen, S. Gao and Y. Ma, ""SingleImage Crowd Counting via Multi-Column Convolutional Neural Network,"" 2016 IEEE Conference on Computer Vision and Pattern Recognition (CVPR), Las Vegas, NV, 2016, pp. 589-597"
Deep Density-Aware Count Regressor,D7,124,113,"D. B. Sam, S. Surya and R. V. Babu, ""Switching Convolutional Neural Network for Crowd Counting,"" 2017 IEEE Conference on Computer Vision and Pattern Recognition (CVPR), Honolulu, HI, 2017, pp. 4031-4039"
Deep Density-Aware Count Regressor,D8,124,114,"V. A. Sindagi and V. M. Patel, ""Generating High-Quality Crowd Density Maps Using Contextual Pyramid CNNs,"" 2017 IEEE International Conference on Computer Vision (ICCV), Venice, 2017, pp. 1879-1888"
Deep Density-Aware Count Regressor,D9,124,115,"C. Zhang, H. Li, X. Wang and Xiaokang Yang, ""Cross-scene crowd counting via deep convolutional neural networks,"" 2015 IEEE Conference on Computer Vision and Pattern Recognition (CVPR), Boston, MA, 2015, pp. 833-841."
Deep Density-Aware Count Regressor,D10,124,116,"X. Cao, Z. Wang, Y. Zhao, and F. Su, ""Scale aggregation network for accurate and efficient crowd counting,"" in Proceedings of the European Conference on Computer Vision (ECCV), pp. 734-750, 2018."
Deep Density-Aware Count Regressor,D11,124,117,"Y. Zhang, D. Zhou, S. Chen, S. Gao and Y. Ma, ""SingleImage Crowd Counting via Multi-Column Convolutional Neural Network,"" 2016 IEEE Conference on Computer Vision and Pattern Recognition (CVPR), Las Vegas, NV, 2016, pp. 589-597"
Deep Density-Aware Count Regressor,D12,124,118,"L. Liu, H. Wang., G. Li, W. Ouyang, and L. Lin, ""Crowd counting using deep recurrent spatial-aware network,"" arXiv:1807.00601 [cs.CV], 2018."
Deep Density-Aware Count Regressor,D13,124,119,"D. B. Sam and R. V. Babu, ""Top-down feedback for crowd counting convolutional neural network,"" in Thirty-Second AAAI Conference on Artificial Intelligence, 2018."
Deep Density-Aware Count Regressor,D14,124,120,"Y. Zhang, D. Zhou, S. Chen, S. Gao and Y. Ma, ""SingleImage Crowd Counting via Multi-Column Convolutional Neural Network,"" 2016 IEEE Conference on Computer Vision and Pattern Recognition (CVPR), Las Vegas, NV, 2016, pp. 589-597."
Deep Density-Aware Count Regressor,D15,124,121,"Y. Zhang, D. Zhou, S. Chen, S. Gao and Y. Ma, ""SingleImage Crowd Counting via Multi-Column Convolutional Neural Network,"" 2016 IEEE Conference on Computer Vision and Pattern Recognition (CVPR), Las Vegas, NV, 2016, pp. 589-597."
Deep Density-Aware Count Regressor,D16,275,122,"D. B. Sam, S. Surya and R. V. Babu, ""Switching Convolutional Neural Network for Crowd Counting,"" 2017 IEEE Conference on Computer Vision and Pattern Recognition (CVPR), Honolulu, HI, 2017, pp. 4031-4039"
Deep Density-Aware Count Regressor,D17,275,123,"D. B. Sam, S. Surya and R. V. Babu, ""Switching Convolutional Neural Network for Crowd Counting,"" 2017 IEEE Conference on Computer Vision and Pattern"
Deep Density-Aware Count Regressor,D18,275,124,"V. A. Sindagi and V. M. Patel, ""Generating High-Quality Crowd Density Maps Using Contextual Pyramid CNNs,"" 2017 IEEE International Conference on Computer Vision (ICCV), Venice, 2017, pp. 1879-1888."
Deep Density-Aware Count Regressor,D19,275,125,"Viola, Jones and Snow, ""Detecting pedestrians using patterns
of motion and appearance,"" Proceedings Ninth IEEE
International Conference on Computer Vision, Nice, France,
2003, pp. 734-741 vol.2"
Deep Density-Aware Count Regressor,D20,275,126,"V. Ranjan, H. Le, M. Hoai, ""Iterative crowd counting,"" in Proceedings of the European Conference on Computer Vision (ECCV), pp. 270-285, 2018"
Deep Density-Aware Count Regressor,D21,733,127,"W. Ge and R. T. Collins, ""Marked point processes for crowd counting,"" 2009 IEEE Conference on Computer Vision and Pattern Recognition, Miami, FL, 2009, pp. 2913-2920"
Deep Density-Aware Count Regressor,D22,733,128,"] Viola, Jones and Snow, ""Detecting pedestrians using patterns of motion and appearance,"" Proceedings Ninth IEEE International Conference on Computer Vision, Nice, France, 2003, pp. 734-741 vol.2"
Deep Density-Aware Count Regressor,D23,733,129,"J. Gall, A. Yao, N. Razavi, L. Van Gool and V. Lempitsky, ""Hough Forests for Object Detection, Tracking, and Action Recognition,"" in IEEE Transactions on Pattern Analysis and Machine Intelligence, vol. 33, no. 11, pp. 2188-2202, Nov. 2011"
Deep Density-Aware Count Regressor,D24,733,130,"] M. Li, Z. Zhang, K. Huang and T. Tan, ""Estimating the number of people in crowded scenes by MID based foreground segmentation and head-shoulder detection,"" 2008 19th International Conference on Pattern Recognition, Tampa, FL, 2008, pp. 1-4."
Deep Density-Aware Count Regressor,D25,733,131,"T. Zhao, R. Nevatia and B. Wu, ""Segmentation and Tracking of Multiple Humans in Crowded Environments,"" in IEEE Transactions on Pattern Analysis and Machine Intelligence, vol. 30, no. 7, pp. 1198-1211, July 2008"
Deep Density-Aware Count Regressor,D26,740,132,"S. Ren, K. He, R. Girshick and J. Sun, ""Faster R-CNN: Towards Real-Time Object Detection with Region Proposal Networks,"" in IEEE Transactions on Pattern Analysis and Machine Intelligence, vol. 39, no. 6, pp. 1137-1149, 1 June 2017"
Deep Density-Aware Count Regressor,D27,745,133,"J. Liu, C. Gao, D. Meng and A. G. Hauptmann, ""DecideNet: Counting Varying Density Crowds Through Attention Guided Detection and Density Estimation,"" 2018 IEEE/CVF Conference on Computer Vision and Pattern Recognition, Salt Lake City, UT, 2018, pp. 5197-5206"
Deep Density-Aware Count Regressor,D28,853,134,"Y. Zhang, D. Zhou, S. Chen, S. Gao and Y. Ma, ""SingleImage Crowd Counting via Multi-Column Convolutional Neural Network,"" 2016 IEEE Conference on Computer Vision and Pattern Recognition (CVPR), Las Vegas, NV, 2016, pp. 589-597"
Deep Density-Aware Count Regressor,D29,853,135," H. Idrees, M. Tayyab, K. Athrey, D. Zhang, S. Al-Maadeed, N. Rajpoot and M. Shah, ""Composition loss for counting, density map estimation and localization in dense crowds,"" in Proceedings of the European Conference on Computer Vision (ECCV), pp. 532-546, 2018"
Deep Density-Aware Count Regressor,D30,855,136,"V. Pham, T. Kozakaya, O. Yamaguchi and R. Okada, ""COUNT Forest: CO-Voting Uncertain Number of Targets Using Random Forest for Crowd Density Estimation,"" 2015 IEEE International Conference on Computer Vision (ICCV), Santiago, 2015, pp. 3253-3261."
Deep Density-Aware Count Regressor,D31,857,137,"D. Kong, D. Gray and Hai Tao, ""A Viewpoint Invariant Approach for Crowd Counting,"" 18th International Conference on Pattern Recognition (ICPR'06), Hong Kong, 2006, pp. 1187-1190."
Deep Density-Aware Count Regressor,D32,928,138,"C. Wang, H. Zhang, L. Yang, L. Si, and X. Cao, ""Deep people counting in extremely dense crowds."" in Proceedings of the 23rd ACM international conference on Multimedia, 2015, pp. 1299-1302"
Deep Density-Aware Count Regressor,D33,952,139,"H. Idrees, M. Tayyab, K. Athrey, D. Zhang, S. Al-Maadeed, N. Rajpoot and M. Shah, ""Composition loss for counting, density map estimation and localization in dense crowds,"" in Proceedings of the European Conference on Computer Vision (ECCV), pp. 532-546, 2018."
Deep Density-Aware Count Regressor,D34,968,140,"K. He, X. Zhang, S. Ren and J. Sun, ""Deep Residual Learning
for Image Recognition,"" 2016 IEEE Conference on
Computer Vision and Pattern Recognition (CVPR), Las
Vegas, NV, 2016, pp. 770-778. "
Deep Density-Aware Count Regressor,D35,970,141,"G. Huang, Z. Liu, L. v. d. Maaten and K. Q. Weinberger, ""Densely Connected Convolutional Networks,"" 2017 IEEE Conference on Computer Vision and Pattern Recognition (CVPR), Honolulu, HI, 2017, pp. 2261-2269"
Deep Density-Aware Count Regressor,D36,984,142,"M. Rodriguez, I. Laptev, J. Sivic and J. Audibert, ""Densityaware person detection and tracking in crowds,"" 2011 International Conference on Computer Vision, Barcelona, 2011, pp. 2423-2430"
Deep Density-Aware Count Regressor,D37,1005,143,"C. Zhang, H. Li, X. Wang and Xiaokang Yang, ""Cross-scene crowd counting via deep convolutional neural networks,"" 2015 IEEE Conference on Computer Vision and Pattern Recognition (CVPR), Boston, MA, 2015, pp. 833-841."
Deep Density-Aware Count Regressor,D38,1030,144,"Y. Zhang, D. Zhou, S. Chen, S. Gao and Y. Ma, ""SingleImage Crowd Counting via Multi-Column Convolutional Neural Network,"" 2016 IEEE Conference on Computer Vision and Pattern Recognition (CVPR), Las Vegas, NV, 2016, pp. 589-597"
Deep Density-Aware Count Regressor,D39,1049,145,"D. B. Sam, S. Surya and R. V. Babu, ""Switching Convolutional Neural Network for Crowd Counting,"" 2017 IEEE Conference on Computer Vision and Pattern Recognition (CVPR), Honolulu, HI, 2017, pp. 4031-4039."
Deep Density-Aware Count Regressor,D40,1067,146,"K. He, X. Zhang, S. Ren and J. Sun, ""Deep Residual Learning for Image Recognition,"" 2016 IEEE Conference on Computer Vision and Pattern Recognition (CVPR), Las Vegas, NV, 2016, pp. 770-778."
Deep Density-Aware Count Regressor,D41 ,1082,147,"V. A. Sindagi and V. M. Patel, ""Generating High-Quality Crowd Density Maps Using Contextual Pyramid CNNs,"" 2017 IEEE International Conference on Computer Vision (ICCV), Venice, 2017, pp. 1879-1888."
Deep Density-Aware Count Regressor,D42 ,1116,148,"L. Liu, H. Wang., G. Li, W. Ouyang, and L. Lin, ""Crowd counting using deep recurrent spatial-aware network,"" arXiv:1807.00601 [cs.CV], 2018"
Deep Density-Aware Count Regressor,D43,1116,149,"D. B. Sam and R. V. Babu, ""Top-down feedback for crowd
counting convolutional neural network,"" in Thirty-Second
AAAI Conference on Artificial Intelligence, 2018."
Deep Density-Aware Count Regressor,D44,1116,150,"Z. Shi et al., ""Crowd Counting with Deep Negative Correlation Learning,"" 2018 IEEE/CVF Conference on Computer Vision and Pattern Recognition, Salt Lake City, UT, 2018, pp. 5382-5390."
Deep Density-Aware Count Regressor,D45,1116,151,"Y. Li, X. Zhang and D. Chen, ""CSRNet: Dilated Convolutional Neural Networks for Understanding the Highly Congested Scenes,"" 2018 IEEE/CVF Conference on Computer Vision and Pattern Recognition, Salt Lake City, UT, 2018, pp. 1091-1100."
Deep Density-Aware Count Regressor,D46,1121,152,"Y. Zhang, D. Zhou, S. Chen, S. Gao and Y. Ma, ""SingleImage Crowd Counting via Multi-Column Convolutional Neural Network,"" 2016 IEEE Conference on Computer Vision and Pattern Recognition (CVPR), Las Vegas, NV, 2016, pp. 589-597"
Deep Density-Aware Count Regressor,D47,1128,153,"V. A. Sindagi and V. M. Patel, ""Generating High-Quality Crowd Density Maps Using Contextual Pyramid CNNs,"" 2017 IEEE International Conference on Computer Vision (ICCV), Venice, 2017, pp. 1879-1888."
Deep Density-Aware Count Regressor,D48,1191,154,"Y. Li, X. Zhang and D. Chen, ""CSRNet: Dilated Convolutional Neural Networks for Understanding the Highly Congested Scenes,"" 2018 IEEE/CVF Conference on Computer Vision and Pattern Recognition, Salt Lake City, UT, 2018, pp. 1091-1100"
Deep Density-Aware Count Regressor,D49,1193,155,"Y. Li, X. Zhang and D. Chen, ""CSRNet: Dilated
Convolutional Neural Networks for Understanding the
Highly Congested Scenes,"" 2018 IEEE/CVF Conference on
Computer Vision and Patte"
Deep Density-Aware Count Regressor,D50,1518,156,"B. Xu, N. Wang, T. Chen, and M. Li, ""Empirical evaluation of rectified activations in convolutional network,"" arXiv:1505.00853 [cs.LG], 2015"
Deep Density-Aware Count Regressor,D51,2067,157,"Y. Zhang, D. Zhou, S. Chen, S. Gao and Y. Ma, ""SingleImage Crowd Counting via Multi-Column Convolutional Neural Network,"" 2016 IEEE Conference on Computer Vision and Pattern"
Deep Density-Aware Count Regressor,D52,2135,158,"H. Idrees, M. Tayyab, K. Athrey, D. Zhang, S. Al-Maadeed, N. Rajpoot and M. Shah, ""Composition loss for counting, density map estimation and localization in dense crowds,"" in Proceedings of the European Conference on Computer Vision (ECCV), pp. 532-546, 2018"
Deep Density-Aware Count Regressor,D53,2269,159," K. Chen, C. C. Loy, S. Gong, and T. Xiang, ""Feature mining for localised crowd counting,"" in British Machine Vision Conference (BMVC), vol. 1, no. 2, pp. 3, 2012"
Deep Density-Aware Count Regressor,D54,2270,160,"Y. Zhang, D. Zhou, S. Chen, S. Gao and Y. Ma, ""SingleImage Crowd Counting via Multi-Column Convolutional Neural Network,"" 2016 IEEE Conference on Computer Vision and Pattern Recognition (CVPR), Las Vegas, NV, 2016, pp. 589-597"
Deep Density-Aware Count Regressor,D55,2272,161,"H. Idrees, M. Tayyab, K. Athrey, D. Zhang, S. Al-Maadeed, N. Rajpoot and M. Shah, ""Composition loss for counting, density map estimation and localization in dense crowds,"" in Proceedings of the European Conference on Computer Vision (ECCV), pp. 532-546, 2018"
Deep Density-Aware Count Regressor,D56,2345,162,"K. Chen, C. C. Loy, S. Gong, and T. Xiang, ""Feature mining for localised crowd counting,"" in British Machine Vision Conference (BMVC), vol. 1, no. 2, pp. 3, 2012."
Deep Density-Aware Count Regressor,D57,2416,163,"Y. Li, X. Zhang and D. Chen, ""CSRNet: Dilated Convolutional Neural Networks for Understanding the Highly Congested Scenes,"" 2018 IEEE/CVF Conference on Computer Vision and Patte"
Deep Density-Aware Count Regressor,D58,2487,164,"K. Simonyan and A. Zisserman, ""Very deep convolutional networks for large-scale image recognition,"" arXiv:1409.1556 [cs.CV], Sep. 2014"
Deep Density-Aware Count Regressor,D59,2769,165,"K. He, X. Zhang, S. Ren and J. Sun, ""Deep Residual Learning for Image Recognition,"" 2016 IEEE Conference on Computer Vision and Pattern Recognition (CVPR), Las Vegas, NV, 2016, pp. 770-778."
Deep Density-Aware Count Regressor,D60,2769,166,"A. G. Howard, M. Zhu, B. Chen, D. Kalenichenko, W. Wang, T. Weyand, M. Andreetto, and H. Adam, ""Mobilenets: Efficient convolutional neural networks for mobile vision applications,"" arXiv:1704.04861 [cs.CV], 2017"
Deep Density-Aware Count Regressor,D61,2769,167,"Y. Li, X. Zhang and D. Chen, ""CSRNet: Dilated Convolutional Neural Networks for Understanding the Highly Congested Scenes,"" 2018 IEEE/CVF Conference on Computer Vision and Patte"
Deep Density-Aware Count Regressor,D62,2769,168,"Y. Li, X. Zhang and D. Chen, ""CSRNet: Dilated Convolutional Neural Networks for Understanding the Highly Congested Scenes,"" 2018 IEEE/CVF Conference on Computer Vision and Patte"
Deep Density-Aware Count Regressor,D63,2827,169,"G. Huang, Z. Liu, L. v. d. Maaten and K. Q. Weinberger, ""Densely Connected Convolutional Networks,"" 2017 IEEE Conference on Computer Vision and Pattern Recognition (CVPR), Honolulu, HI, 2017, pp. 2261-2269"
Detecting Humans in Dense Crowd Using Locally -Consistent Scale Prior and Global Occlusion Reasoning,E1,112,170,"A history of hajj tragedies. The Guardian, 2006. http://www. guardian.co.uk/world/2006/jan/13/saudiarabia. [Accessed: July 1, 2013]."
Detecting Humans in Dense Crowd Using Locally -Consistent Scale Prior and Global Occlusion Reasoning,E2,114,171,"I. Ali and M. N. Dailey. Head plane estimation improves the accuracy of pedestrian tracking in dense crowds. In ICARCV, 2010"
Detecting Humans in Dense Crowd Using Locally -Consistent Scale Prior and Global Occlusion Reasoning,E3,124,172,"The Editorial Board. Bombs at the marathon. The New York Times, April 15, 2013. http://www.nytimes.com/2013/ 04/16/opinion/bombs-at-the-boston-marathon.html?ref= bostonmarathon, [Accessed: July 1, 2013]."
Detecting Humans in Dense Crowd Using Locally -Consistent Scale Prior and Global Occlusion Reasoning,E4,289,173,"J. Silveira, J. Junior, S. Musse, and C. Jung. Crowd analysis using computer vision techniques. Signal Processing Magazine, IEEE, 27(5):66–77, 2010."
Detecting Humans in Dense Crowd Using Locally -Consistent Scale Prior and Global Occlusion Reasoning,E5,289,174,"] B. Zhan, D. Monekosso, P. Remagnino, S. Velastin, and L. Xu. Crowd analysis: a survey. MVA, 19(5-6):345–357, 2008"
Detecting Humans in Dense Crowd Using Locally -Consistent Scale Prior and Global Occlusion Reasoning,E6,325,175,"S. Ali and M. Shah. Floor fields for tracking in high density crowd scenes. In ECCV, 2008"
Detecting Humans in Dense Crowd Using Locally -Consistent Scale Prior and Global Occlusion Reasoning,E7,325,176,"L. Kratz and K. Nishino. Tracking pedestrians using local spatio-temporal motion patterns in extremely crowded scenes. PAMI, 34(5):987–1002, 2012."
Detecting Humans in Dense Crowd Using Locally -Consistent Scale Prior and Global Occlusion Reasoning,E8,454,177,"S. Ali and M. Shah. Floor fields for tracking in high density crowd scenes. In ECCV, 2008."
Detecting Humans in Dense Crowd Using Locally -Consistent Scale Prior and Global Occlusion Reasoning,E9,454,178,"M. Rodriguez, S. Ali, and T. Kanade. Tracking in unstructured crowded scenes. In ICCV, 2009."
Detecting Humans in Dense Crowd Using Locally -Consistent Scale Prior and Global Occlusion Reasoning,E10,454,179,"L. Kratz and K. Nishino. Tracking pedestrians using local spatio-temporal motion patterns in extremely crowded scenes. PAMI, 34(5):987–1002, 2012."
Detecting Humans in Dense Crowd Using Locally -Consistent Scale Prior and Global Occlusion Reasoning,E11,775,180,"X. Wang, T. Han, and S. Yan. An hog-lbp human detector with partial occlusion handling. In ICCV, 2009"
Detecting Humans in Dense Crowd Using Locally -Consistent Scale Prior and Global Occlusion Reasoning,E12,997,181,"P. Dollar, Z. Tu, P. Perona, and S. Belongie. Integral channel features. In BMVC, 2009."
Detecting Humans in Dense Crowd Using Locally -Consistent Scale Prior and Global Occlusion Reasoning,E13,997,182,"P. Dollar, S. Belongie, and P. Perona. The fastest pedestrian detector in the west. In BMVC, 2010"
Detecting Humans in Dense Crowd Using Locally -Consistent Scale Prior and Global Occlusion Reasoning,E14,997,183,"F. Khan, R. Anwer, J. Weijer, A. Bagdanov, M. Vanrell, and A. Lopez. Color attributes for object detection. In CVPR, 2012"
Detecting Humans in Dense Crowd Using Locally -Consistent Scale Prior and Global Occlusion Reasoning,E15,997,184,"S. Maji, A. Berg, and J. Malik. Classification using intersection kernel support vector machines is efficient. In CVPR, 2008"
Detecting Humans in Dense Crowd Using Locally -Consistent Scale Prior and Global Occlusion Reasoning,E16,997,185,"] M. Pedersoli, A. Vedaldi, and J. Gonzalez. A coarse-to-fine approach for fast deformable object detection. In CVPR, 2011."
Detecting Humans in Dense Crowd Using Locally -Consistent Scale Prior and Global Occlusion Reasoning,E17,997,186,"C. Dubout and F. Fleuret. Exact acceleration of linear object detectors. In ECCV, 2012."
Detecting Humans in Dense Crowd Using Locally -Consistent Scale Prior and Global Occlusion Reasoning,E18,997,187,"J. Wu, C. Geyer, and J. Rehg. Real-time human detection using contour cues. In ICRA, 2011."
Detecting Humans in Dense Crowd Using Locally -Consistent Scale Prior and Global Occlusion Reasoning,E19,997,188,"P. Felzenszwalb, R. Girshick, D. McAllester, and D. Ramanan. Object detection with discriminatively trained part based models. PAMI, 32(9):1627–1645, 2010"
Detecting Humans in Dense Crowd Using Locally -Consistent Scale Prior and Global Occlusion Reasoning,E20,997,189,"N. Dalal and B. Triggs. Histograms of oriented gradients for human detection. In CVPR, 2005."
Detecting Humans in Dense Crowd Using Locally -Consistent Scale Prior and Global Occlusion Reasoning,E21,997,190,"D. Geronimo, A. Lopez, A. Sappa, and T. Graf. Survey of pedestrian detection for advanced driver assistance systems. PAMI, 32(7):1239–1258, 2010"
Detecting Humans in Dense Crowd Using Locally -Consistent Scale Prior and Global Occlusion Reasoning,E22,1005,191,"P. Felzenszwalb, R. Girshick, D. McAllester, and D. Ramanan. Object detection with discriminatively trained part based models. PAMI, 32(9):1627–1645, 2010."
Detecting Humans in Dense Crowd Using Locally -Consistent Scale Prior and Global Occlusion Reasoning,E23,1100,192,"B. Wu and R. Nevatia. Detection of multiple, partially occluded humans in a single image by bayesian combination of edgelet part detectors. In ICCV, 2005."
Detecting Humans in Dense Crowd Using Locally -Consistent Scale Prior and Global Occlusion Reasoning,E24,1176,193," M. Fink and P. Perona. Mutual boosting for contextual inference. In NIPS, 2003."
Detecting Humans in Dense Crowd Using Locally -Consistent Scale Prior and Global Occlusion Reasoning,E25,1176,194,"K. Mikolajczyk, C. Schmid, and A. Zisserman. Human detection based on a probabilistic assembly of robust part detectors. In ECCV, 2004"
Detecting Humans in Dense Crowd Using Locally -Consistent Scale Prior and Global Occlusion Reasoning,E26,1176,195,"Y. Wang, D. Tran, and Z. Liao. Learning hierarchical poselets for human parsing. In CVPR, 2011"
Detecting Humans in Dense Crowd Using Locally -Consistent Scale Prior and Global Occlusion Reasoning,E27,1176,196,"P. Felzenszwalb, R. Girshick, D. McAllester, and D. Ramanan. Object detection with discriminatively trained part based models. PAMI, 32(9):1627–1645, 2010"
Detecting Humans in Dense Crowd Using Locally -Consistent Scale Prior and Global Occlusion Reasoning,E28,1176,197,"W. Ouyang and X. Wang. A discriminative deep model for pedestrian detection with occlusion handling. In CVPR, 2012"
Detecting Humans in Dense Crowd Using Locally -Consistent Scale Prior and Global Occlusion Reasoning,E29,1177,198,"W. Ouyang and X. Wang. Single-pedestrian detection aided by multi-pedestrian detection. In CVPR, 2013."
Detecting Humans in Dense Crowd Using Locally -Consistent Scale Prior and Global Occlusion Reasoning,E30,1239,199,"W. Ouyang and X. Wang. Joint deep learning for pedestrian detection. In ICCV, 2013."
Detecting Humans in Dense Crowd Using Locally -Consistent Scale Prior and Global Occlusion Reasoning,E31,1245,200,"M. Enzweiler, A. Eigenstetter, B. Schiele, and D. Gavrila. Multicue pedestrian classification with partial occlusion handling. In CVPR, 2010."
Detecting Humans in Dense Crowd Using Locally -Consistent Scale Prior and Global Occlusion Reasoning,E32,1250,201,"G. Duan, H. Ai, and S. Lao. A structural filter approach to human detection. In ECCV, 2010."
Detecting Humans in Dense Crowd Using Locally -Consistent Scale Prior and Global Occlusion Reasoning,E33,1253,202,"X. Wang, T. Han, and S. Yan. An hog-lbp human detector with partial occlusion handling. In ICCV, 2009."
Detecting Humans in Dense Crowd Using Locally -Consistent Scale Prior and Global Occlusion Reasoning,E34,1273,203,"X. Wang, T. Han, and S. Yan. An hog-lbp human detector with partial occlusion handling. In ICCV, 2009."
Detecting Humans in Dense Crowd Using Locally -Consistent Scale Prior and Global Occlusion Reasoning,E35,1300,204,"J. Yan, Z. Lei, D. Yi, and S. Li. Multi-pedestrian detection in crowded scenes: A global view. In CVPR, 2012"
Detecting Humans in Dense Crowd Using Locally -Consistent Scale Prior and Global Occlusion Reasoning,E36,1328,205,"W. Ge and R. Collins. Crowd detection with a multiview sampler. In ECCV, 2010."
Detecting Humans in Dense Crowd Using Locally -Consistent Scale Prior and Global Occlusion Reasoning,E37,1445,206,"C. Arteta, V. Lempitsky, J. A. Noble, and A. Zisserman. Learning to detect partially overlapping instances. In CVPR, 2013."
Detecting Humans in Dense Crowd Using Locally -Consistent Scale Prior and Global Occlusion Reasoning,E38,1469,207,"L. Kratz and K. Nishino. Tracking pedestrians using local spatio-temporal motion patterns in extremely crowded scenes. PAMI, 34(5):987–1002, 2012"
Detecting Humans in Dense Crowd Using Locally -Consistent Scale Prior and Global Occlusion Reasoning,E39,1496,208,"M. Rodriguez, I. Laptev, J. Sivic, and J. Audibert. Densityaware person detection and tracking in crowds. In ICCV, 2011."
Detecting Humans in Dense Crowd Using Locally -Consistent Scale Prior and Global Occlusion Reasoning,E40,1517,209,"X. Zhao, D. Gong, and G. Medioni. Tracking using motion patterns for very crowded scenes. In ECCV, 2012."
Detecting Humans in Dense Crowd Using Locally -Consistent Scale Prior and Global Occlusion Reasoning,E41,1590,210,"S. Ali and M. Shah. Floor fields for tracking in high density crowd scenes. In ECCV, 2008."
Detecting Humans in Dense Crowd Using Locally -Consistent Scale Prior and Global Occlusion Reasoning,E42,1644,211,"S. Ali and M. Shah. Floor fields for tracking in high density crowd scenes. In ECCV, 2008."
Detecting Humans in Dense Crowd Using Locally -Consistent Scale Prior and Global Occlusion Reasoning,E43,1644,212,"M. Rodriguez, S. Ali, and T. Kanade. Tracking in unstructured crowded scenes. In ICCV, 2009."
Detecting Humans in Dense Crowd Using Locally -Consistent Scale Prior and Global Occlusion Reasoning,E44,1647,213,"M. Rodriguez, J. Sivic, I. Laptev, and J. Audibert. Data-driven crowd analysis in videos. In ICCV, 2011."
Detecting Humans in Dense Crowd Using Locally -Consistent Scale Prior and Global Occlusion Reasoning,E45,1662,214,"X. Zhao, D. Gong, and G. Medioni. Tracking using motion patterns for very crowded scenes. In ECCV, 2012."
Detecting Humans in Dense Crowd Using Locally -Consistent Scale Prior and Global Occlusion Reasoning,E46,1692,215,"H. Idrees, I. Saleemi, C. Seibert, and M. Shah. Multi-source multi-scale counting in extremely dense crowd images. In CVPR, 2013"
Detecting Humans in Dense Crowd Using Locally -Consistent Scale Prior and Global Occlusion Reasoning,E47,1701,216,"H. Idrees, I. Saleemi, C. Seibert, and M. Shah. Multi-source multi-scale counting in extremely dense crowd images. In CVPR, 2013"
Detecting Humans in Dense Crowd Using Locally -Consistent Scale Prior and Global Occlusion Reasoning,E48,1733,217,"D. Ramanan. Using segmentation to verify object hypotheses. In CVPR, 2007."
Detecting Humans in Dense Crowd Using Locally -Consistent Scale Prior and Global Occlusion Reasoning,E49,1813,218,"P. Carbonetto, N. Freitas, and K. Barnard. A statistical model for general contextual object recognition. In ECCV, 2004"
Detecting Humans in Dense Crowd Using Locally -Consistent Scale Prior and Global Occlusion Reasoning,E50,1832,219,"A. Torralba. Contextual priming for object detection. IJCV, 53(2):169–191, 2003."
Detecting Humans in Dense Crowd Using Locally -Consistent Scale Prior and Global Occlusion Reasoning,E51,1924,220,"N. Dalal and B. Triggs. Histograms of oriented gradients for human detection. In CVPR, 2005."
Detecting Humans in Dense Crowd Using Locally -Consistent Scale Prior and Global Occlusion Reasoning,E52,1926,221,"L. Wolf and S. Bileschi. A critical view of context. In IJCV, volume 69, pages 251–261, 2006."
Detecting Humans in Dense Crowd Using Locally -Consistent Scale Prior and Global Occlusion Reasoning,E53,1928,222,"W. Schwartz, A. Kembhavi, D. Harwood, and L. Davis. Human detection using partial least squares analysis. In ICCV, 2009."
Detecting Humans in Dense Crowd Using Locally -Consistent Scale Prior and Global Occlusion Reasoning,E54,1930,223,"M. Enzweiler, A. Eigenstetter, B. Schiele, and D. Gavrila. Multicue pedestrian classification with partial occlusion handling. In CVPR, 2010."
Detecting Humans in Dense Crowd Using Locally -Consistent Scale Prior and Global Occlusion Reasoning,E55,1930,224,"S. Divvala, D. Hoiem, J. Hays, A. Efros, and M. Hebert. An empirical study of context in object detection. In CVPR, 2009"
Detecting Humans in Dense Crowd Using Locally -Consistent Scale Prior and Global Occlusion Reasoning,E56,1933,225,"C. Desai, D. Ramanan, and C. Fowlkes. Discriminative models for multi-class object layout. IJCV, 95(1):1–12, 2011."
Detecting Humans in Dense Crowd Using Locally -Consistent Scale Prior and Global Occlusion Reasoning,E57,1936,226,"Y. Ding and J. Xiao. Contextual boost for pedestrian detection. In CVPR, 2012"
Detecting Humans in Dense Crowd Using Locally -Consistent Scale Prior and Global Occlusion Reasoning,E58,1941,227,"D. Park, D. Ramanan, and C. Fowlkes. Multiresolution models for object detection. In ECCV. 2010."
Detecting Humans in Dense Crowd Using Locally -Consistent Scale Prior and Global Occlusion Reasoning,E59,1944,228,"D. Kong, D. Gray, and H. Tao. A viewpoint invariant approach for crowd counting. In ICPR, 2006."
Detecting Humans in Dense Crowd Using Locally -Consistent Scale Prior and Global Occlusion Reasoning,E60,1966,229,"A. B. Chan, Z-SJ. Liang, and N. Vasconcelos. Privacy preserving crowd monitoring: Counting people without people models or tracking. In CVPR, 2008."
